type,start_s,end_s,dur_s,dist_m,v_peak_ms,acc_peak_ms2,dec_peak_ms2,v_start_ms,v_end_ms,start_min
acc,3979.42,3980.19,0.77,2.63,4.26,2.9,2.14,2.03,4.26,66.32
hsr,3981.78,3983.27,1.49,8.57,5.6,0.42,-0.35,5.5,5.5,66.36
dec,3986.29,3986.9,0.61,1.35,2.83,-2.04,-2.59,2.83,1.16,66.44
dec,3996.08,3997.29,1.21,3.98,4.71,-2.03,-2.57,4.71,1.74,66.6
acc,3999.22,3999.77,0.55,1.38,3.02,2.64,2.09,1.42,3.02,66.65
dec,4004.61,4005.71,1.1,3.54,4.84,-2.06,-3.4,4.84,1.46,66.74
dec,4076.05,4076.6,0.55,0.97,2.42,-2.04,-2.71,2.42,0.72,67.93
acc,4079.63,4081.28,1.65,6.34,5.62,2.74,2.03,1.59,5.62,67.99
hsr,4081.28,4083.64,2.36,14.73,6.39,2.03,-1.26,5.62,5.57,68.02
dec,4084.47,4085.29,0.82,2.78,4.31,-2.01,-3.3,4.31,1.65,68.07
acc,4501.2,4502.96,1.76,6.83,6.41,4.55,2.0,0.33,6.41,75.02
hsr,4502.58,4505.16,2.58,18.71,7.9,2.64,-4.78,5.54,5.77,75.04
sprint,4503.35,4504.89,1.54,12.13,7.9,1.47,-3.36,7.07,7.11,75.06
dec,4504.72,4506.32,1.6,6.62,7.63,-2.14,-5.08,7.63,0.68,75.08
acc,4611.42,4613.18,1.76,6.84,6.42,4.47,2.0,0.31,6.42,76.86
hsr,4612.74,4615.44,2.7,19.81,8.35,2.75,-5.3,5.5,5.65,76.88
sprint,4613.51,4615.16,1.65,13.24,8.35,1.65,-4.13,7.06,7.2,76.89
dec,4614.94,4616.54,1.6,6.76,8.09,-2.04,-5.43,8.09,0.61,76.92
acc,4914.14,4915.79,1.65,6.08,6.14,4.55,2.07,0.32,6.14,81.9
hsr,4915.57,4918.16,2.59,18.55,7.73,2.49,-4.87,5.65,5.77,81.93
sprint,4916.4,4917.88,1.48,11.53,7.73,1.25,-3.15,7.03,7.13,81.94
dec,4917.77,4919.26,1.49,5.91,7.47,-2.26,-5.41,7.47,0.41,81.96
acc,5073.86,5075.57,1.71,6.58,6.3,4.59,2.07,0.28,6.3,84.56
hsr,5075.24,5080.41,5.17,38.55,8.35,2.46,-1.93,5.57,5.57,84.59
sprint,5075.95,5079.64,3.69,29.22,8.35,1.27,-1.84,7.0,7.05,84.6
